,ST,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,New/Existing
182,183,clpA_60,clpX_45,nifS_78,pepX_54,pyrG_50,recG_49,rplB_41,uvrA_33,New
183,184,clpA_60,clpX_45,nifS_78,pepX_54,pyrG_50,recG_49,rplB_41,uvrA_130,New
184,185,clpA_60,clpX_45,nifS_78,pepX_54,pyrG_171,recG_179,rplB_148,uvrA_33,New
185,186,clpA_60,clpX_45,nifS_78,pepX_54,pyrG_171,recG_179,rplB_148,uvrA_130,New
186,187,clpA_60,clpX_45,nifS_78,pepX_54,pyrG_171,recG_179,rplB_41,uvrA_33,New
187,188,clpA_60,clpX_45,nifS_78,pepX_54,pyrG_171,recG_179,rplB_41,uvrA_130,New
188,189,clpA_60,clpX_45,nifS_78,pepX_54,pyrG_171,recG_49,rplB_148,uvrA_33,New
189,190,clpA_60,clpX_45,nifS_78,pepX_54,pyrG_171,recG_49,rplB_148,uvrA_130,New
190,191,clpA_60,clpX_45,nifS_78,pepX_54,pyrG_171,recG_49,rplB_41,uvrA_33,New
191,192,clpA_60,clpX_45,nifS_78,pepX_54,pyrG_171,recG_49,rplB_41,uvrA_130,New
192,193,clpA_60,clpX_80,nifS_44,pepX_164,pyrG_50,recG_179,rplB_148,uvrA_33,New
193,194,clpA_60,clpX_80,nifS_44,pepX_164,pyrG_50,recG_179,rplB_148,uvrA_130,New
194,195,clpA_60,clpX_80,nifS_44,pepX_164,pyrG_50,recG_179,rplB_41,uvrA_33,New
195,196,clpA_60,clpX_80,nifS_44,pepX_164,pyrG_50,recG_179,rplB_41,uvrA_130,New
196,197,clpA_60,clpX_80,nifS_44,pepX_164,pyrG_50,recG_49,rplB_148,uvrA_33,New
197,198,clpA_60,clpX_80,nifS_44,pepX_164,pyrG_50,recG_49,rplB_148,uvrA_130,New
198,199,clpA_60,clpX_80,nifS_44,pepX_164,pyrG_50,recG_49,rplB_41,uvrA_33,New
199,200,clpA_60,clpX_80,nifS_44,pepX_164,pyrG_50,recG_49,rplB_41,uvrA_130,New
200,201,clpA_60,clpX_80,nifS_44,pepX_164,pyrG_171,recG_179,rplB_148,uvrA_33,New
201,202,clpA_60,clpX_80,nifS_44,pepX_164,pyrG_171,recG_179,rplB_148,uvrA_130,New
