,ST,clpA,clpX,nifS,pepX,pyrG,recG,rplB,uvrA,New/Existing
192,193,clpA_51,clpX_252,nifS_24,pepX_261,pyrG_85,recG_259,rplB_294,uvrA_288,New
193,194,clpA_51,clpX_252,nifS_24,pepX_261,pyrG_85,recG_259,rplB_294,uvrA_28,New
194,195,clpA_51,clpX_252,nifS_24,pepX_261,pyrG_85,recG_259,rplB_294,uvrA_29,New
195,196,clpA_51,clpX_252,nifS_24,pepX_261,pyrG_85,recG_259,rplB_23,uvrA_288,New
196,197,clpA_51,clpX_252,nifS_24,pepX_261,pyrG_85,recG_259,rplB_23,uvrA_28,New
197,198,clpA_51,clpX_252,nifS_24,pepX_261,pyrG_85,recG_259,rplB_23,uvrA_29,New
198,199,clpA_51,clpX_252,nifS_24,pepX_261,pyrG_282,recG_91,rplB_294,uvrA_288,New
199,200,clpA_51,clpX_252,nifS_24,pepX_261,pyrG_282,recG_91,rplB_294,uvrA_28,New
200,201,clpA_51,clpX_252,nifS_24,pepX_261,pyrG_282,recG_91,rplB_294,uvrA_29,New
201,202,clpA_51,clpX_252,nifS_24,pepX_261,pyrG_282,recG_91,rplB_23,uvrA_288,New
202,203,clpA_51,clpX_252,nifS_24,pepX_261,pyrG_282,recG_91,rplB_23,uvrA_28,New
203,204,clpA_51,clpX_252,nifS_24,pepX_261,pyrG_282,recG_91,rplB_23,uvrA_29,New
204,205,clpA_51,clpX_252,nifS_24,pepX_261,pyrG_282,recG_27,rplB_294,uvrA_288,New
205,206,clpA_51,clpX_252,nifS_24,pepX_261,pyrG_282,recG_27,rplB_294,uvrA_28,New
206,207,clpA_51,clpX_252,nifS_24,pepX_261,pyrG_282,recG_27,rplB_294,uvrA_29,New
207,208,clpA_51,clpX_252,nifS_24,pepX_261,pyrG_282,recG_27,rplB_23,uvrA_288,New
208,209,clpA_51,clpX_252,nifS_24,pepX_261,pyrG_282,recG_27,rplB_23,uvrA_28,New
209,210,clpA_51,clpX_252,nifS_24,pepX_261,pyrG_282,recG_27,rplB_23,uvrA_29,New
210,211,clpA_51,clpX_252,nifS_24,pepX_261,pyrG_282,recG_259,rplB_294,uvrA_288,New
211,212,clpA_51,clpX_252,nifS_24,pepX_261,pyrG_282,recG_259,rplB_294,uvrA_28,New
212,213,clpA_51,clpX_252,nifS_24,pepX_261,pyrG_282,recG_259,rplB_294,uvrA_29,New
213,214,clpA_51,clpX_252,nifS_24,pepX_261,pyrG_282,recG_259,rplB_23,uvrA_288,New
